event_name,block_number,txhash,log_index,timestamp,_balance,_blackListedUser,maxFee,newAddress,amount,_user,feeBasisPoints,contract_address,msg.sender
AddedBlackList,13557229,0x269915190502566025d195fd2adb57501699d8fdaee4cffc3ece3d3ea80cb8b8,157,2021-11-05T14:52:42,,,,,,0x967BB571F0Fc9Ee79c892aBF9f99233AA1737E31,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557238,0x16eda424fc241542eb95739992e7d0fd821bf3fff87956dd2b6ccb155a0a2153,195,2021-11-05T14:55:01,,,,,,0x0ACC0e5faA09Cb1976237c3a9aF3D3d4b2f35FA5,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557238,0x3239bd0e775ac483822197012a2db4e65b3352336d43968a1e007d613cc6bba5,198,2021-11-05T14:55:01,,,,,,0x74487eEd1E67F4787E8C0570E8D5d168a05254D4,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557241,0xa25b8a888ddffa99f1b72dd96d76b8d7cf3bc7b2b51e93ce20ce1cda539f4172,45,2021-11-05T14:55:37,,,,,,0x967BB571F0Fc9Ee79c892aBF9f99233AA1737E31,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557245,0xf57acd6c3fecf737597893a256f6ac4e528af370e773581beb923cf6e16d5e26,62,2021-11-05T14:56:00,,,,,,0x6551Fb9BE444987F7482012CBf7ea95A1ee8DD0e,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557246,0x88f2f7fb92efe4f35073a431cbf56b992a7d1069527969b7e39f9cb4b9050a5f,58,2021-11-05T14:56:15,,,,,,0xAfad9352eB6BcD085Dd68268D353d0ed2571aF89,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13557577,0xa2e12b7b527b85148f2d816545c19dc6bad1d56f4a0921e2fa72e112122638dc,126,2021-11-05T16:09:07,,,,,,0x1Ae8840cEaEf6EeC4dA1b1e6e5FCf298800b46e6,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
AddedBlackList,13569628,0xf0659d6e8d751159720bd9673f6d946b2ef9b1d716f5f809981ab5c309ea4890,54,2021-11-07T13:29:24,,,,,,0x4847761d6576f911345AE2998397e6D4Dfb2aD73,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
Issue,13575953,0xb313f71038cbb873919707eb81618bed35678cbb578bd214f630204cde00dfe1,29,2021-11-08T13:08:25,,,,,1000000000000000.0,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
Issue,13582854,0xccf7f69c62989303bf8710c154af9bea54e14747bb4cc293fa9047a858ecd489,54,2021-11-09T15:12:14,,,,,1000000000000000.0,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
Issue,13582954,0x005e9c31ac028697862dc528421c0add0b9d312254f163acd04c1bcfc1f2831c,2,2021-11-09T15:31:28,,,,,1000000000000000.0,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
DestroyedBlackFunds,13678600,0xf9888a930a50abac7058af84ad1f534ea927a7e714735ff4f34d71349654f8ae,50,2021-11-24T17:49:02,5056406024426.0,0x83B379AFAF9A0553f4Dd41f1358D6A95Dcb0E814,,,,,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0x61D5a4d5Bd270e59E9320243e574288e2a199fED
AddedBlackList,13740647,0x51adce227bc02638f4801ddcc6a7f26a87b52202a0eb4f2481ba1e0903c67366,59,2021-12-04T15:46:09,,,,,,0x5EB95F30BD4409CFAADEBa75cD8d9c2CE4ED992A,,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xf4B51B14b9EE30dc37EC970B50a486F37686E2a8
